star_name,teff,teff_err,logg,logg_err,feh,feh_err,age,age_err,mass,mass_err,thick_disk,CI,CI_err,CI_gce,CI_gce_err,CH,CH_err,CH_gce,CH_gce_err,OI,OI_err,OI_gce,OI_gce_err,NaI,NaI_err,NaI_gce,NaI_gce_err,MgI,MgI_err,MgI_gce,MgI_gce_err,AlI,AlI_err,AlI_gce,AlI_gce_err,SiI,SiI_err,SiI_gce,SiI_gce_err,SI,SI_err,SI_gce,SI_gce_err,CaI,CaI_err,CaI_gce,CaI_gce_err,ScI,ScI_err,ScI_gce,ScI_gce_err,ScII,ScII_err,ScII_gce,ScII_gce_err,TiI,TiI_err,TiI_gce,TiI_gce_err,TiII,TiII_err,TiII_gce,TiII_gce_err,VI,VI_err,VI_gce,VI_gce_err,CrI,CrI_err,CrI_gce,CrI_gce_err,CrII,CrII_err,CrII_gce,CrII_gce_err,MnI,MnI_err,MnI_gce,MnI_gce_err,CoI,CoI_err,CoI_gce,CoI_gce_err,NiI,NiI_err,NiI_gce,NiI_gce_err,CuI,CuI_err,CuI_gce,CuI_gce_err,ZnI,ZnI_err,ZnI_gce,ZnI_gce_err,SrI,SrI_err,SrI_gce,SrI_gce_err,YII,YII_err,YII_gce,YII_gce_err,ZrII,ZrII_err,ZrII_gce,ZrII_gce_err,BaII,BaII_err,BaII_gce,BaII_gce_err,LaII,LaII_err,LaII_gce,LaII_gce_err,CeII,CeII_err,CeII_gce,CeII_gce_err,PrII,PrII_err,PrII_gce,PrII_gce_err,NdII,NdII_err,NdII_gce,NdII_gce_err,SmII,SmII_err,SmII_gce,SmII_gce_err,EuII,EuII_err,EuII_gce,EuII_gce_err,GdII,GdII_err,GdII_gce,GdII_gce_err,DyII,DyII_err,DyII_gce,DyII_gce_err
HIP10175,5719,3,4.485,0.01,-0.028,0.002,3.2,0.4,0.99,0.002,False,-0.05500000000000001,0.007,-0.039993177,0.007236347,-0.048,0.006,-0.032993177,0.006274131,0.024,0.009,0.035435037,0.009171894,-0.051000000000000004,0.022,-0.039769566,0.022091121,-0.006000000000000002,0.007,0.006915304,0.007084783,-0.034,0.008,-0.015962531,0.008100882,-0.009999999999999998,0.003,-0.001776562,0.003100299,0.0020000000000000018,0.012,0.014714206,0.01216694,0.023,0.005,0.021563443,0.005053936,-0.019,0.013,-0.011278679,0.013057222,-0.019,0.008,-0.011278679,0.008092654,0.023,0.005,0.027695473,0.00504464,0.0010000000000000009,0.005,0.005695473,0.00504464,-0.0019999999999999983,0.004,-0.000294472,0.004087228,0.013000000000000001,0.005,0.010958871,0.00501626,0.004,0.007,0.001958871,0.007011623,-0.029,0.005,-0.025968774,0.005222607,-0.028,0.004,-0.018372627,0.004218113,-0.04100000000000001,0.003,-0.031790629,0.00322141,-0.05600000000000001,0.013,-0.036649312,0.01318137,-0.048,0.006,-0.034776748,0.006264303,0.081,0.005,0.048341136,0.006341092,0.066,0.007,0.035020684,0.00764842,0.087,0.012,0.058541178,0.012368062,0.11599999999999999,0.005,0.074840852,0.005480621,0.118,0.029,0.088489733,0.029127686,0.104,0.016,0.075411505,0.016170409,0.16999999999999998,0.008,0.156586901,0.008609711,0.127,0.01,0.101244688,0.010330137,0.057,0.013,0.047037527,0.01317519,0.089,0.005,0.081702297,0.005445365,0.08,0.005,0.072199311,0.005387124,0.065,0.005,0.055461064,0.005797456
HIP101905,5906,5,4.5,0.011,0.088,0.004,1.2,0.3,1.08,0.002,False,-0.13999999999999999,0.009,-0.101905757,0.010133188,-0.103,0.022,-0.064905757,0.022487363,-0.06899999999999999,0.014,-0.039972597,0.014701293,-0.093,0.012,-0.064491976,0.013034133,-0.025999999999999995,0.008,0.006785003,0.008467281,-0.033999999999999996,0.002,0.011787421,0.003803489,-0.024999999999999994,0.004,-0.004125118,0.00446572,-0.104,0.027,-0.071725476,0.027477208,0.024000000000000007,0.005,0.020353355,0.005338,-0.0059999999999999915,0.01,0.013600276,0.010469383,-0.010999999999999996,0.007,0.008600276,0.007655585,0.015,0.006,0.026919276,0.006236131,0.0040000000000000036,0.007,0.015919276,0.007203425,0.0050000000000000044,0.009,0.009329417,0.00924909,-0.0020000000000000018,0.005,-0.007181327,0.005103867,-0.0059999999999999915,0.011,-0.011181327,0.0110476,-0.04599999999999999,0.006,-0.03830535,0.00711784,-0.03799999999999999,0.005,-0.013561284,0.006045687,-0.03799999999999999,0.005,-0.014622367,0.005820326,-0.08499999999999999,0.031,-0.035879023,0.031489655,-0.09699999999999999,0.016,-0.063433283,0.016639936,0.097,0.006,0.014096729,0.011576117,0.08100000000000002,0.011,0.002360198,0.01349834,0.08499999999999999,0.01,0.012758374,0.012561609,0.14,0.01,0.035519086,0.01150907,0.10200000000000001,0.031,0.027089323,0.031762026,0.119,0.012,0.046429204,0.013391251,0.094,0.014,0.059951365,0.016163447,0.131,0.01,0.065621131,0.011968666,0.05399999999999999,0.021,0.028710645,0.021692137,0.07600000000000001,0.014,0.05747506,0.015032515,0.049000000000000016,0.006,0.02919825,0.007868366,0.066,0.066,0.041785778,0.066419005
HIP102040,5853,4,4.48,0.012,-0.08,0.003,2.4,0.4,1.02,0.002,False,-0.011999999999999997,0.051,0.012241791,0.051086007,-0.08600000000000001,0.006,-0.061758209,0.006691794,0.022,0.006,0.040471983,0.006644623,-0.071,0.008,-0.05285853,0.008630401,0.0020000000000000018,0.003,0.022863184,0.003480818,-0.021000000000000005,0.008,0.00813745,0.00826066,-0.0040000000000000036,0.005,0.009284016,0.00515719,-0.06499999999999999,0.014,-0.044461667,0.014371071,0.034,0.005,0.031679408,0.005139555,-0.0030000000000000027,0.009,0.009472903,0.009213622,0.025,0.026,0.037472903,0.026074716,0.035,0.005,0.042584994,0.005115668,0.025,0.006,0.032584994,0.006096725,0.0,0.006,0.002755084,0.006151488,-0.007999999999999993,0.004,-0.011297208,0.004052775,-0.006999999999999992,0.012,-0.010297208,0.012017695,-0.06299999999999999,0.005,-0.058103404,0.005562209,-0.012999999999999998,0.007,0.00255191,0.007326487,-0.03799999999999999,0.004,-0.023123325,0.004426567,-0.06599999999999999,0.034,-0.034741196,0.034181736,-0.077,0.02,-0.055639362,0.020210358,0.062,0.005,0.009243373,0.008042921,0.054000000000000006,0.007,0.00395649,0.008589853,0.081,0.011,0.035028056,0.01201683,0.128,0.012,0.061512146,0.012535726,0.118,0.018,0.070329569,0.018530183,0.14900000000000002,0.016,0.102818585,0.016440968,0.158,0.01,0.136332687,0.011243949,0.165,0.011,0.123395265,0.011769199,0.113,0.023,0.096906774,0.023258677,0.14600000000000002,0.017,0.134211402,0.017353364,0.094,0.006,0.081398886,0.006818574,0.108,0.028,0.09259095,0.028398395
HIP102152,5718,4,4.325,0.011,-0.016,0.003,8.6,0.3,0.978,0.004,False,0.015,0.008,-0.032329211,0.009872586,-0.017,0.006,-0.064329211,0.008334744,0.051000000000000004,0.01,0.014935651,0.011448579,-0.027999999999999997,0.014,-0.06341906,0.015361059,0.031,0.01,-0.009732883,0.010577236,0.026000000000000002,0.004,-0.030887402,0.005670654,0.003000000000000001,0.003,-0.022935459,0.003884064,-0.012,0.022,-0.052098651,0.022893872,0.006,0.005,0.01053068,0.005513055,-0.016,0.011,-0.040351858,0.011654658,0.004,0.005,-0.020351858,0.006311185,0.009000000000000001,0.005,-0.005808798,0.005427709,-0.0010000000000000009,0.006,-0.015808798,0.006360819,-0.009000000000000001,0.006,-0.014378973,0.006558717,-0.005000000000000001,0.004,0.001437406,0.004197614,-0.0010000000000000009,0.009,0.005437406,0.009089552,-0.026999999999999996,0.005,-0.03656002,0.006901816,-0.018000000000000002,0.008,-0.048363253,0.009045955,-0.017,0.004,-0.046044938,0.005449904,0.002,0.004,-0.059029093,0.007951865,0.004,0.011,-0.037704103,0.012379107,-0.11,0.005,-0.006998966,0.01327722,-0.104,0.007,-0.006296004,0.011978207,-0.094,0.012,-0.004245253,0.015271277,-0.049,0.009,0.08080962,0.011450057,-0.062,0.019,0.031070841,0.020852471,-0.023,0.013,0.067163716,0.014950895,0.0,0.017,0.04230285,0.019741629,0.0010000000000000009,0.009,0.082228291,0.012155652,0.015,0.01,0.046420108,0.012066982,0.023,0.019,0.046015834,0.020180988,0.028,0.005,0.052602175,0.008062069,-0.031,0.027,-0.000915664,0.028542012
HIP10303,5712,3,4.395,0.01,0.104,0.003,5.8,0.4,1.011,0.003,False,-0.027999999999999997,0.004,-0.043006823,0.004400536,-0.040999999999999995,0.003,-0.056006823,0.00351635,-0.022999999999999993,0.007,-0.034435037,0.00721967,-0.0020000000000000018,0.012,-0.013230434,0.012166249,0.017,0.005,0.004084696,0.005118022,0.033000000000000015,0.004,0.014962531,0.004198128,0.0040000000000000036,0.002,-0.004223438,0.002147523,-0.023999999999999994,0.014,-0.036714206,0.014143353,0.0050000000000000044,0.003,0.006436557,0.003089056,-0.0059999999999999915,0.01,-0.013721321,0.010074276,0.024000000000000007,0.006,0.016278679,0.006122993,0.013000000000000012,0.005,0.008304527,0.00504464,0.007000000000000006,0.006,0.002304527,0.00603725,0.015,0.006,0.013294472,0.006058501,0.007000000000000006,0.005,0.009041129,0.00501626,0.008000000000000007,0.007,0.010041129,0.007011623,0.019000000000000003,0.004,0.015968774,0.004275,0.0,0.005,-0.009627373,0.005176145,0.020000000000000004,0.004,0.010790629,0.004168631,0.013999999999999999,0.021,-0.005350688,0.021112757,0.0040000000000000036,0.02,-0.009223252,0.020080874,0.032000000000000015,0.005,0.064658864,0.006341092,0.019000000000000003,0.006,0.049979316,0.006745245,0.0040000000000000036,0.014,0.032458822,0.014316737,-0.01999999999999999,0.008,0.021159148,0.008308863,-0.031,0.006,-0.001489733,0.006589543,-0.027999999999999997,0.015,0.000588495,0.015181638,0.008000000000000007,0.012,0.021413099,0.012414795,-0.013999999999999999,0.007,0.011755312,0.007464029,-0.010999999999999996,0.016,-0.001037527,0.016142665,0.01100000000000001,0.013,0.018297703,0.013177709,0.030000000000000013,0.005,0.037800689,0.005387124,-0.0049999999999999906,0.021,0.004538936,0.021204021
HIP104045,5826,3,4.41,0.01,0.051,0.003,4.5,0.5,1.027,0.005,False,-0.041999999999999996,0.008,-0.042,0.008,-0.043,0.007,-0.043,0.007,-0.015999999999999993,0.008,-0.016,0.008,-0.024999999999999998,0.009,-0.025,0.009,-0.010999999999999996,0.004,-0.011,0.004,-0.012999999999999998,0.004,-0.013,0.004,-0.005999999999999998,0.002,-0.006,0.002,-0.006999999999999999,0.028,-0.007,0.028,0.008,0.005,0.008,0.005,-0.024999999999999998,0.012,-0.025,0.012,0.0,0.007,0.0,0.007,-0.0029999999999999957,0.005,-0.003,0.005,-0.010999999999999996,0.006,-0.011,0.006,-0.008999999999999994,0.005,-0.009,0.005,-0.0029999999999999957,0.004,-0.003,0.004,0.007000000000000006,0.006,0.007,0.006,-0.005999999999999998,0.004,-0.006,0.004,-0.013999999999999999,0.004,-0.014,0.004,-0.0029999999999999957,0.003,-0.003,0.003,-0.019999999999999997,0.006,-0.02,0.006,-0.028999999999999998,0.01,-0.029,0.01,0.01800000000000001,0.005,0.018,0.005,0.015000000000000006,0.008,0.015,0.008,0.020999999999999998,0.006,0.021,0.006,0.010000000000000002,0.008,0.01,0.008,-0.037,0.026,-0.037,0.026,0.014000000000000005,0.009,0.014,0.009,0.038,0.018,0.038,0.018,0.031000000000000007,0.013,0.031,0.013,-0.019999999999999997,0.013,-0.02,0.013,0.07800000000000001,0.008,0.078,0.008,0.091,0.023,0.091,0.023,0.01900000000000001,0.007,0.019,0.007
HIP105184,5843,6,4.51,0.011,0.003,0.004,0.7,0.4,1.05,0.006,False,-0.094,0.01,-0.050133902,0.011346779,-0.081,0.011,-0.037133902,0.012237213,-0.005,0.013,0.028425494,0.013988906,-0.063,0.013,-0.030172579,0.014259312,-0.009000000000000001,0.009,0.028752428,0.009550041,-0.038000000000000006,0.013,0.014724909,0.013523257,-0.013999999999999999,0.004,0.010037743,0.004607376,-0.047,0.016,-0.009835397,0.017043228,0.039,0.005,0.034800833,0.005443649,0.003,0.01,0.025570015,0.010617912,-0.023,0.007,-0.000429985,0.007857484,0.031000000000000003,0.006,0.044725227,0.006311198,0.007,0.007,0.020725227,0.007268508,0.005,0.008,0.00998539,0.008368243,0.011,0.006,0.005033624,0.006114864,0.009000000000000001,0.012,0.003033624,0.012057843,-0.053000000000000005,0.005,-0.044139493,0.006666618,-0.039,0.005,-0.010858449,0.006349456,-0.054,0.005,-0.027080302,0.006063804,-0.084,0.028,-0.027436451,0.028715379,-0.079,0.013,-0.040347417,0.014024854,0.113,0.007,0.017535627,0.013377419,0.097,0.008,0.006445077,0.012048124,0.111,0.01,0.027812674,0.013290378,0.195,0.007,0.074688644,0.009593737,0.147,0.023,0.06073922,0.024339619,0.184,0.012,0.100433629,0.013814533,0.154,0.012,0.114792481,0.015183214,0.187,0.01,0.111715242,0.012543826,0.095,0.031,0.065878924,0.031625643,0.092,0.007,0.070668251,0.009420641,0.06799999999999999,0.006,0.045197985,0.008387961,0.11499999999999999,0.06,0.087116957,0.060609994
HIP108158,5675,4,4.285,0.011,0.055,0.003,8.1,0.3,1.021,0.002,True,0.101,0.005,0.059442644,0.007127607,0.043000000000000003,0.008,0.001442644,0.009476433,0.14300000000000002,0.011,0.111333743,0.012039684,0.032999999999999995,0.008,0.001900338,0.009737022,0.138,0.011,0.102234542,0.011408659,0.155,0.012,0.105050086,0.012508238,0.063,0.002,0.040227401,0.002948234,0.096,0.022,0.060791429,0.022692257,0.04699999999999999,0.005,0.050978158,0.005399855,0.08300000000000002,0.01,0.061617881,0.010556244,0.10600000000000001,0.008,0.084617881,0.008685292,0.10500000000000001,0.006,0.091997153,0.006280011,0.10400000000000001,0.006,0.090997153,0.006280011,0.07800000000000001,0.008,0.073276999,0.008331249,0.015000000000000006,0.005,0.020652356,0.005123372,0.018999999999999996,0.016,0.024652356,0.016038982,-0.022,0.004,-0.030394164,0.005783679,0.07300000000000001,0.004,0.046339583,0.005453975,0.027000000000000003,0.005,0.001497128,0.005963506,0.10900000000000001,0.026,0.05541348,0.026691095,0.136,0.017,0.099381763,0.017716033,-0.079,0.006,0.011439932,0.012354586,-0.082,0.011,0.003788874,0.013922616,-0.069,0.02,0.009809046,0.02165132,-0.052,0.007,0.061979179,0.00936101,-0.045,0.006,0.036720739,0.009639359,-0.022,0.018,0.057168141,0.019132182,0.10800000000000001,0.013,0.145143966,0.015705453,0.019999999999999997,0.011,0.091322402,0.013132778,0.061000000000000006,0.014,0.088588387,0.015204128,0.097,0.007,0.117209025,0.009201877,0.07700000000000001,0.006,0.098601909,0.008175356,0.10700000000000001,0.009,0.133415515,0.012125627
HIP108468,5841,4,4.35,0.011,-0.096,0.004,7.0,0.3,1.006,0.005,False,0.010000000000000009,0.011,-0.018859275,0.011551773,-0.020000000000000004,0.005,-0.048859275,0.006119107,0.055,0.008,0.033009544,0.008692059,-0.044999999999999984,0.008,-0.066596988,0.008880204,0.037000000000000005,0.01,0.012162876,0.010218426,0.034,0.004,-0.00068744,0.004691158,0.007000000000000006,0.002,-0.008814305,0.002502553,-0.011999999999999997,0.012,-0.036450397,0.012606356,0.018000000000000002,0.005,0.02076261,0.005196674,-0.0050000000000000044,0.007,-0.019848694,0.007383375,0.017,0.007,0.002151306,0.007383375,0.015,0.005,0.005970245,0.005163163,0.021000000000000005,0.006,0.011970245,0.006136632,-0.008999999999999994,0.006,-0.012279862,0.006213602,-0.015,0.004,-0.011074752,0.004074593,0.0050000000000000044,0.009,0.008925248,0.009033399,-0.05299999999999999,0.005,-0.058829281,0.005780638,-0.011999999999999997,0.004,-0.030514178,0.004756993,-0.028999999999999998,0.004,-0.046710328,0.004592846,-0.021999999999999992,0.024,-0.059212861,0.024363108,-0.034,0.009,-0.059429331,0.009643016,-0.11599999999999999,0.004,-0.053194492,0.008499881,-0.121,0.006,-0.061424393,0.008433679,-0.07400000000000001,0.015,-0.019271496,0.016067645,-0.024999999999999994,0.011,0.054152208,0.01181646,-0.009999999999999995,0.016,0.046750513,0.016835929,0.015,0.017,0.069977876,0.017586191,0.10200000000000001,0.01,0.127794421,0.011724009,0.055,0.006,0.104529446,0.007798814,0.038,0.018,0.057158602,0.018465066,0.07400000000000001,0.012,0.088034045,0.01269662,0.051000000000000004,0.006,0.066001326,0.007132389,0.079,0.016,0.097344108,0.016965953
HIP109821,5747,4,4.31,0.011,-0.108,0.004,8.9,0.3,0.98,0.002,True,0.097,0.024,0.046207676,0.024790016,-0.013999999999999999,0.004,-0.064792324,0.007385451,0.123,0.013,0.084296797,0.014310246,-0.03899999999999999,0.011,-0.077010698,0.012923785,0.082,0.007,0.038286662,0.007917054,0.098,0.004,0.036950105,0.005882785,0.035,0.004,0.007166824,0.004796787,0.033,0.014,-0.010032698,0.015563316,0.047,0.005,0.051862193,0.005586769,0.027999999999999997,0.012,0.001866299,0.012691763,0.064,0.006,0.037866299,0.007285661,0.073,0.006,0.057107631,0.006413781,0.076,0.006,0.060107631,0.006413781,0.016,0.006,0.010227444,0.006639366,-0.016,0.005,-0.009091564,0.005183213,0.0050000000000000044,0.005,0.011908436,0.005183213,-0.078,0.005,-0.088259534,0.007146237,0.007999999999999993,0.004,-0.024584954,0.00604433,-0.02800000000000001,0.004,-0.059170177,0.005637367,0.010999999999999996,0.012,-0.054494636,0.014085349,0.010999999999999996,0.005,-0.033755623,0.007882468,-0.09000000000000001,0.005,0.020537695,0.014115018,-0.09200000000000001,0.007,0.012853069,0.012562214,-0.041999999999999996,0.009,0.054322167,0.013555255,-0.021000000000000005,0.007,0.118307885,0.010329778,0.020000000000000004,0.009,0.119880903,0.01288505,0.044,0.013,0.140761061,0.015225015,0.105,0.012,0.15039818,0.016124903,0.08499999999999999,0.007,0.172171825,0.01121994,0.086,0.014,0.11971914,0.015764872,0.08399999999999999,0.016,0.108699919,0.017586688,0.087,0.005,0.113402334,0.008429965,0.112,0.011,0.144285629,0.01482021
